,title,class,sp_count,up_count,title_cha,title_word,cha_word,up_cha,up_word,bad_word
16846,Lopez /López (accent on people's names),1,3,2,34,6,5.7,5,33,0
16847,Nicole Kidman and Prince Harry named sexiest redheads,1,0,4,46,8,5.8,8,50,0
16848,Jennifer Lawrence Says ‘Mother!’ Led to Darren Aronofsky Split,1,3,8,54,9,6.0,14,88,0
16849,Kristen Stewart is usual scowling self on night out with Robert Pattinson,1,0,4,62,12,5.2,6,33,0
16850,Johnny Depp Settles Lawsuit Against His Former Business Managers,1,0,9,56,9,6.2,16,100,0
16851,Halle Berry (And More) To Join Keanu Reeves In Third 'John Wick' Flick,1,4,13,58,13,4.5,22,100,0
16852,On Air with Ryan Seacrest,1,0,4,21,5,4.2,19,80,0
16853,Swift calls out label for being 'nervous' over pop album,1,2,1,47,10,4.7,2,10,0
16854,Kanye West & Kim Kardashian Are Having ‘Best Sex of their Lives’: He’s So Attracted To Her,1,5,14,74,17,4.4,18,82,1
16855,Kylie Jenner slams 'altered' photos amid pregnancy rumors,1,2,2,50,8,6.2,4,25,0
16856,Kylie Jenner Jenner Kris Life Of Kylie,1,0,7,32,7,4.6,21,100,0
16857,Pictures of Selena Gomez Over the Years,1,0,5,33,7,4.7,15,71,0
16858,Katy Perry & Orlando Bloom Reportedly ‘Back On’ After ‘Robsten’ Parties Together In LA,1,5,14,73,14,5.2,19,100,0
16859,Ben Affleck & Jennifer Garner File For Divorce Amid Reconciliation Rumors,1,1,10,63,11,5.7,15,90,0
16860,Josh Duhamel Gushes Over Jennifer Garner After Dating Rumors: ‘She’s An Incredible Woman’,1,4,13,77,13,5.9,16,100,0
16861,"HollywoodLife Flip-Flops On Prince Harry, Meghan Markle Engagement",1,1,10,59,8,7.4,16,125,0
16862,Anne Hathaway Angering ‘Barbie’ Movie Producers With Demands?,1,3,8,54,8,6.8,14,100,0
16863,Prince Charles Ordering Camilla Parker Bowles To Get Plastic Surgery To Save Marriage ,1,0,13,73,14,5.2,17,92,0
16864,Kris Jenner ‘Impressed’ By How Travis Scott Is Stepping Up & Taking Care Of Stormi & Kylie,1,4,15,74,17,4.4,20,88,0
16865,50 Celebrities React to Donald Trump's Immigration Order,1,1,6,49,8,6.1,12,75,0
16866,Sean Spicer Emmys Moment: See Celebrity Reactions,1,1,7,43,7,6.1,16,100,0
16867,"Kim Kardashian and Kanye West Not Victims of Swatting, LAPD Clarifies",1,0,12,59,11,5.4,20,109,0
16868,"Biggest Engagement Rings Of 2017 — Cardi B, Caroline Wozniacki & More Celeb Diamond Bling",1,1,12,75,15,5.0,16,80,0
16869,Anna Wintour Net Worth,1,0,4,19,4,4.8,21,100,0
16870,Did Miley Cyrus get mad at Liam Hemsworth for refusing to wear his promise ring?,1,1,5,66,15,4.4,7,33,0
16871,The Queen ‘absolutely FUMING’ over fake Prince Philip death rumours,1,2,10,58,10,5.8,17,100,0
16872,Justin Bieber RUINS Selena Gomez Reunion? – Kendall Jenner QUITS Modeling? (Rumor Patrol) & video,1,5,20,83,15,5.5,24,133,0
16873,Marry Me! Justin Bieber To Propose To Selena Over Christmas,1,1,10,50,10,5.0,20,100,0
16874,Ryan Seacrest Relieved Kim Kardashian to Fill in For Kelly Ripa On Live!,1,1,11,60,13,4.6,18,84,0
16875,Did Gwen Stefani Call Off Wedding To Blake Shelton Because Of 'Cheating'?,1,3,12,62,12,5.2,19,100,0
16876,Tyga & Scott Disick Party All Night: Bonding After Being Dumped By Kardashians?,1,3,12,67,13,5.2,17,92,0
16877,Gwen Stefani Finding the Inspiration to have Another Baby from Janet Jackson!! Is the Story true? Find out what Gossip Cop has to say about it! – Married Biography,1,4,15,135,29,4.7,11,51,0
16878,Craig Morgan Suing Life Jacket Maker Over Son’s Death,1,1,9,45,9,5.0,20,100,0
16879,"Brad Pitt Going Back To School To Impress Professor Girlfriend, Neri Oxman!",1,1,12,64,12,5.3,18,100,0
16880,Brad Pitt Could Get A Full-Time Kid In Custody Battle,1,1,11,44,10,4.4,25,110,0
16881,Are David & Victoria Beckham Divorcing? The Soccer Star Shut Down The Rumors,1,2,12,64,13,4.9,18,92,0
16882,Taylor Swift Hits Back at Tabloids,1,0,5,29,6,4.8,17,83,0
16883,"Mystery Man (Dream Man, #1)",1,3,4,23,5,4.6,17,80,0
16884,"Travis Scott, Kylie Jenner’s Boyfriend Split Rumors: No Break Up",1,2,10,55,10,5.5,18,100,0
16885,Drew Barrymore! Gisele Bündchen! Miley Cyrus! All the Stars Who Are Honoring International Women's Day,1,4,14,88,15,5.9,15,93,0
16886,Eddie Cibrian Cheated On Both LeAnn Rimes & Brandi Glanville — Report,1,1,11,58,12,4.8,18,91,0
16887,"Of course, the Oscars had plenty of political moments",1,0,2,45,9,5.0,4,22,0
16888,  Blake Shelton  Gwen Stefani Marriage Plans In Crisis In Crisis ,1,0,10,52,12,4.3,19,83,0
16889,Queen Elizabeth Upset Meghan Markle’s Ex-Husband Is Making Royal-Inspired Sitcom?,1,4,12,72,10,7.2,16,120,0
16890,Kim Kardashian Apparently Can’t Wait Until Khloé Leaves Tristan Thompson,1,1,10,63,10,6.3,15,100,0
16891,Kelly Osbourne on addiction: 'People need to know rehab doesn't fix you' Video,1,4,4,66,13,5.1,6,30,0
16892,A plastic surgeon weighs in on all of the procedures Kylie Jenner might have had done,1,0,3,70,16,4.4,4,18,0
16893,"Blake Shelton & Gwen Stefani Hoping Exes Miranda Lambert, Gavin Rossdale Are Happy And Have Children In Their Future Relationships",1,1,19,111,20,5.6,17,95,0
16894,Pamela Anderson and Julian Assange: Details emerge on their unlikely relationship,1,1,5,71,11,6.5,7,45,0
16895,25 Shocking Celebrity Weight Changes,1,0,4,32,5,6.4,12,80,0
16896,Brad Pitt and Jennifer Aniston's second wedding joy,1,1,4,44,8,5.5,9,50,0
16897,Gal Gadot Porn Videos,1,0,4,18,4,4.5,22,100,0
16898,Mass-Media: Brad Pitt Broke Up with Ella Purnell for Princess of Monaco,1,2,10,60,12,5.0,16,83,0
16899,Rihanna: How She Really Feels About Chris Brown Publicly ‘Name Checking Her’,1,3,12,65,12,5.4,18,100,0
16900,"Cory Booker Not Father Of Mindy Kaling’s Baby, Despite Report",1,1,10,52,10,5.2,19,100,0
16901,Ewan McGregor Scraps UK Talk Show Visit Over Piers Morgan Women’s March Barbs,1,1,15,65,13,5.0,23,115,0
16902,Brad Pitt and Angelina Jolie divorce: Selena Gomez ‘shamelessly flirted’ with Ptt at Gold Globes,1,3,9,82,15,5.5,10,60,0
16903,Brad Pitt: A Life So Large,1,1,6,21,6,3.5,28,100,0
16904,Jennifer Aniston’s Mother’s Caregiver Writing Tell-All Book To ‘Expose’ Actress,1,5,11,70,10,7.0,15,110,0
16905,Drew Barrymore Is Secretly Having Sleepovers With Ex-Husband Will Kopelman,1,1,11,65,10,6.5,16,110,0
16906,Jason Aldean Net Worth,1,0,4,19,4,4.8,21,100,0
16907,Are Katy Perry & The Weeknd Dating? The Two Got Dinner & Immediately Set Off Rumors,1,3,14,68,16,4.2,20,87,0
16908,"Jamie Foxx Is ""Upset"" That Katie Holmes and Joshua Jackson Are Talking Again (EXCLUSIVE)",1,4,21,75,14,5.4,28,150,0
16909,Watch Linkin Park's Chester Bennington Tribute Concert Live Stream,1,1,9,58,9,6.4,15,100,0
16910,Justin Theroux and Aubrey Plaza: Intriguing New Couple Alert? – Wireler,1,2,9,61,11,5.5,14,81,0
16911,Liam Payne And Cheryl Cole Reportedly Fighting Over Baby Names,1,0,10,53,10,5.3,18,100,0
16912,Selena Gomez and Justin Bieber baby news,1,0,4,34,7,4.9,11,57,0
16913,Hollywood's Expectant Moms: Inside Mindy Kaling's Private and Solo Journey to Baby,1,3,10,71,12,5.9,14,83,0
16914,Brad Pitt's custody victory over Angelina Jolie,1,1,4,41,7,5.9,9,57,0
16915,Blake Shelton Calls Meeting Gwen Stefani 'a Miracle' After 'Hitting Rock Bottom',1,4,11,69,12,5.8,15,91,0
16916,Kim Khloe Kourtney Kardashian slammed for ‘wearing fur’,1,2,4,48,8,6.0,8,50,0
16917,Throwback Alert! Relive Pippa Middleton's Scene-Stealing Appearance at Kate Middleton's Wedding,1,4,11,85,11,7.7,12,100,0
16918,"Nina Dobrev, Nikki Reed and Ian Somerhalder Have Been Friends All Along",1,0,11,60,12,5.0,18,91,0
16919,Selena Gomez & Justin Theroux May Be Dating And Jennifer Aniston Is Freaking Out,1,1,13,67,14,4.8,19,92,0
16920,"Emma Stone, Justin Theroux Caught Showing PDA? #emmastone #emmastoneofficial #emmastones #emmastonearmy #emmastoneandandrewgarfield #e…",1,7,9,123,13,9.5,7,69,0
16921,Rihanna Has Been On And Off With Hassan Jameel For Two Years — Surprising Revelations Mean It Is Over For Chris Brown,1,0,21,96,22,4.4,21,95,0
16922,OWN Rearranges the Deck Chairs; Malia Obama's Redacted Spring Break,1,2,11,58,10,5.8,18,110,0
16923,"Katherine McPhee and David Foster engaged, make May-December romance official",1,1,7,68,10,6.8,10,70,0
16924,Kim Kardashian Gets Hysterical Over Lost Earring on Kardashians,1,0,8,55,9,6.1,14,88,0
16925,Kylie Jenner,1,0,2,11,2,5.5,18,100,0
16926,Are A-Listers Like Bradley Cooper Self Tanning?,1,2,8,41,7,5.9,19,114,0
16927,"Jamie Foxx Is ""Upset"" That Katie Holmes and Joshua Jackson Are Talking Again (EXCLUSIVE)",1,4,21,75,14,5.4,28,150,0
16928,Trump Rescinds Rules on Bathrooms for Transgender Students,1,0,6,51,8,6.4,11,75,0
16929,Angelina Jolie is 'cold' and Will Smith 'fake nice',1,4,4,43,9,4.8,9,44,0
16930,Did Brad Pitt Cause Tension in Jennifer Aniston and Justin Theroux's Marriage? on E! News,1,3,12,75,15,5.0,16,80,0
16931,Brad Pitt Threatening To Have Angelina Jolie Committed To Psych Ward ,1,0,11,58,12,4.8,18,91,0
16932,Brad Pitt ‘Fears Falling In Love Again’ After Angelina Jolie Divorce: Keeping It ‘Casual’ With Co-Star,1,6,17,87,16,5.4,19,106,0
16933,Eric Johnson Net Worth,1,0,4,19,4,4.8,21,100,0
16934,"Watch Super Bowl LII: Patriots vs Eagles, Stream live, date and time",1,1,9,57,12,4.8,15,75,0
16935,Khloe Kardashian Done,1,0,3,19,3,6.3,15,100,0
16936,Kylie Jenner slams claim Kris is guiding Travis Scott and Kanye West,1,0,7,57,12,4.8,12,58,0
16937,Kim Kardashian: Nude Cookbook on the Way?!?,1,4,5,37,7,5.3,13,71,0
16938,Beyonce & Jay-Z’s Reported Baby Gift For Kim & Kanye West Costs $23k – Hollywood Life,1,4,13,70,16,4.4,18,81,0
16939,"J-Rod! Jennifer Lopez and Alex Rodriguez on Love, Beauty, and Redemption",1,2,9,62,11,5.6,14,81,0
16940,Report: Obama Pleads With Jay-Z to Prevent Other Hip Hop Artists Meeting With Trump,1,2,14,70,14,5.0,20,100,0
16941,The Scenes From Lifetime's 'Harry and Meghan' Movie That Probably Didn't Happen In Real Life,1,4,14,78,15,5.2,17,93,0
16942,"Cher Not Worried Chaz Bono Will Die From Weight Issues, Despite Fake News Story",1,0,14,66,14,4.7,21,100,0
16943,Ben Affleck Reportedly Begging Jennifer Garner For Second Shot At Love: Will She Go Back To Him?,1,2,17,80,17,4.7,21,100,0
16944,Crushing On Chris! Inside Angelina Jolie’s Secret Plan To Woo Heartthrob Hemsworth,1,2,12,71,12,5.9,16,100,0
16945,Why did Selena Gomez and Justin Bieber break up?,1,1,5,40,9,4.4,12,55,0
16946,"Angelina Jolie reveals Bell's Palsy diagnosis, breaks silence on divorce from Brad Pitt",1,1,6,75,13,5.8,8,46,0
16947,Fans React: U2 Cancels St. Louis Concert Amid Police Protests,1,1,10,52,10,5.2,19,100,0
16948,Fergie and Josh Duhamel split,1,0,3,25,5,5.0,12,60,0
16949,"Ben Affleck Was on a 'Bender' Before Jennifer Garner Took Him to Rehab, Source Says",1,2,12,69,15,4.6,17,80,0
16950,Tom Selleck Weighs In on the 'Magnum P.I.' Reboot — And If He'll Make a Cameo,1,3,13,62,16,3.9,20,81,0
16951,Shapeshifting,1,0,1,13,1,13.0,7,100,0
16952,Teri Hatcher Broke And Homeless,1,0,5,27,5,5.4,18,100,0
16953,Camilla Warned Meghan Markle About Marrying To Prince Harry,1,0,9,51,9,5.7,17,100,0
16954,Is Kathy Griffin’s Career Over? Top Crisis Managers Weigh In,1,2,10,51,10,5.1,19,100,0
16955,Katy Perry ends six year beef with Calvin Harris,1,0,4,40,9,4.4,10,44,0
16956,"Fergie Gives Birth: Singer, Josh Duhamel Welcome Baby Boy Axl Jack",1,1,11,56,11,5.1,19,100,0
16957,Property Brothers' Drew Scott Is Engaged to Linda Phan,1,1,8,46,9,5.1,17,88,0
16958,"Tess Ward dumped Harry Styles because she 'still has feelings for an ex', apparently",1,2,4,71,14,5.1,5,28,0
16959,Why Did Blake Shelton Make Gwen Stefani Cry?,1,1,8,37,8,4.6,21,100,0
16960,Rihanna: Boyfriend Hassan Jameel Warning Chris Brown to Stay Away?!,1,3,9,58,10,5.8,15,90,0
16961,Jesse Plemons Skipped Kirsten Dunst’s Movie Premiere To Avoid Wedding Questions?,1,2,11,70,11,6.4,15,100,0
16962,Pregnant Kourtney Kardashian Hangs out With Justin Bieber Amid Baby Daddy Drama,1,0,11,68,12,5.7,16,91,0
16963,Hugh Hefner's wife Crystal Harris 'will inherit nothing',1,3,4,49,8,6.1,8,50,0
16964,'This is McCarthyism!': Trump accuses Obama of 'wire-tapping' his office before election,1,7,5,77,12,6.4,6,41,0
16965,Gwen Stefani: Dumped By Blake Shelton! Blindsided and Heartbroken!,1,3,8,58,9,6.4,13,88,0
16966,This is why Kim Kardashian and Kanye West don't smile,1,1,5,44,10,4.4,11,50,0
16967,15 Secrets Behind Nina Dobrev And Ian Somerhalder’s Relationship,1,1,8,56,9,6.2,14,88,0
16968,Is Chris Hemsworth breaking up the Ben Affleck-Matt Damon friendship?,1,2,7,60,10,6.0,11,70,0
16969,Watch The Gong Show TV Show,1,0,7,22,6,3.7,31,116,0
16970,Marc Anthony Net Worth,1,0,4,19,4,4.8,21,100,0
16971,Lena Dunham Gets Affectionate with a New Guy 3 Months After Jack Antonoff Breakup,1,0,11,68,14,4.9,16,78,0
16972,Colin Jost calls Scarlett Johansson his 'girlfriend' for first time,1,2,4,58,10,5.8,6,40,0
16973,Biggest George Clooney Rumors,1,0,4,26,4,6.5,15,100,0
16974,Everyone Donald Trump Has Called 'Overrated' on Twitter,1,2,7,48,8,6.0,14,87,0
16975,Adam Sandler cuts a relaxed figure as he hangs out with his family,1,0,2,54,13,4.2,3,15,0
16976,What's up with Nicole Kidman?,1,2,3,25,5,5.0,12,60,0
16977,Beyonce and Jay-Z hang out backstage with DJ Khaled and his son Asahd,1,1,7,57,13,4.4,12,53,0
16978,Kim Kardashian on Why She Won’t Have More Than Four Kids,1,1,10,46,11,4.2,21,90,0
16979,Kris Jenner Talks Season 15 of ‘Keeping Up With the Kardashians’,1,2,8,54,11,4.9,14,72,0
16980,Full List of 2018 Oscar Nominations – Variety,1,0,5,38,8,4.8,13,62,0
16981,Kim Kardashian says Caitlyn Jenner lied about her father’s reasons for defending O.J. Simpson,1,1,7,80,14,5.7,8,50,0
16982,US report: Brad Pitt wins the kids,1,1,4,28,7,4.0,14,57,0
16983,Scott Disick Pinches Sofia Richie’s Butt As She Giggles During Date 3 Weeks After Cheating Rumors,1,1,15,82,16,5.1,18,93,1
16984,"Brad Pitt, Angelina Jolie and the search for the perfect PR Hollywood divorce",1,0,7,65,13,5.0,10,53,0
16985,O.J. Simpson Desperate To Date Kris Jenner When Out of Prison — Report,1,0,12,58,13,4.5,20,92,0
16986,No Cinderella: Margo Jefferson on the real Meghan Markle,1,1,6,48,9,5.3,12,66,0
16987,Meghan Markle's wedding dress is going on display — here's how to see it in person,1,2,2,67,16,4.2,2,12,0
16988,21 best Selena Gomez Hollywood Life images on Pinterest,1,0,5,47,9,5.2,10,55,0
16989,"Malibu crash involving Bruce Jenner leaves 1 dead, 5 injured",1,0,3,51,10,5.1,5,30,0
16990,"Anna Faris Uncomfortable Watching Chris Pratt, Zoe Saldana Romantic Scenes?",1,1,10,66,10,6.6,15,100,0
16991,Madonna allowed to adopt four-year-old twin girls from Malawi who lost mother,1,2,2,66,12,5.5,3,16,0
16992,Meet Kate Hudson's Boyfriend and Baby Daddy,1,1,6,37,7,5.3,16,85,0
16993,Irish actress Ruth Negga to see her Hollywood star status SOAR,1,0,8,52,11,4.7,15,72,0
16994,Miley Cyrus Jennifer Hudson Fighting,1,0,5,32,5,6.4,15,100,0
16995,Jennifer Aniston’s ‘tearful’ meeting with Justin Theroux’s ex,1,4,4,54,8,6.8,7,50,0
16996,Is Ben Affleck really Throwing Dinner Parties Just to Have Single Ladies Over? Find out here Full Story! – Married Biography,1,2,16,104,21,5.0,15,76,0
16997,"George Clooney, Amal Clooney NOT Headed For Split, Despite Report",1,0,12,56,10,5.6,21,120,0
16998,"John Lewis, celebs react as ABC cancels ‘Roseanne’",1,2,6,43,8,5.4,13,75,0
16999,7 best Celebrity Liposuction images on Pinterest,1,0,3,42,7,6.0,7,42,0
17000,The Biggest Celebrity Feuds of 2017,1,0,4,30,6,5.0,13,66,0
17001,What! Brad Pitt is smitten by a young Angelina Jolie-lookalike?,1,3,5,54,10,5.4,9,50,0
17002,Brad Pitt and Princess Charlotte baby news,1,0,4,36,7,5.1,11,57,0
17003,"Mary J. Blige Hacked, Did Not Write Kendu Isaacs Hate Tweet",1,0,11,49,11,4.5,22,100,0
17004,Where Is Travis Scott? Why Kylie Jenner's Boyfriend Avoids the Spotlight,1,2,10,62,11,5.6,16,90,0
17005,Cheryl admits her Liam Payne split statement was 'cringeworthy',1,2,3,55,9,6.1,5,33,0
17006,He Will Not Divide Us El Rey Theater,1,0,8,29,8,3.6,27,100,0
17007,"Mariah Carey's New Year's Eve Mishap NOT Caused By Drugs And Alcohol, Despite Report",1,2,16,71,14,5.1,22,114,0
17008,Tom Cruise Hired Dating Coach?,1,1,5,26,5,5.2,19,100,0
17009,"Sexual misconduct allegations against R. Kelly spanning 24 years, in one timeline",1,0,3,70,12,5.8,4,25,0
17010,Kris Jenner And Corey Gamble Party In Monaco – See The Photos,1,0,11,50,12,4.2,22,91,0
17011,"Kris Jenner Behind Kourtney Kardashian, Scott Disick, Sofia Richie Love Triangle?",1,1,11,71,11,6.5,15,100,0
17012,Kim Kardashian-Kanye West Divorce Rumors Proven False,1,1,8,47,7,6.7,17,114,0
17013,Humiliation for Kris Jenner: Why toyboy Corey dumped her,1,1,5,48,9,5.3,10,55,0
17014,Definitive Proof That Justin Timberlake & Jessica Biel Are Stronger Than Ever,1,1,11,66,12,5.5,16,91,0
17015,Dolly Parton: California’s ‘Biblical Disasters’ Punishment For ‘Embracing Satan’,1,6,9,72,9,8.0,12,100,0
17016,"Rihanna's in, Wang is out: A preview of NY Fashion Week",1,2,7,45,11,4.1,15,63,0
17017,"Sure, Kate Middleton Looks Great — But Let’s Talk About What Giving Birth Really Does To Women’s Bodies",1,2,17,86,18,4.8,19,94,0
17018,Johnny Depp: Disney bosses couldn't stand Jack Sparrow and thought character was gay,1,2,5,72,13,5.5,6,38,0
17019,"Blake Shelton Says He Has a ""Stronger Bond"" With Gwen Stefani Every Day",1,2,12,59,13,4.5,20,92,0
17020,Why Prince Harry Didn't Get a Prenup Before Marrying Meghan Markle,1,1,10,56,11,5.1,17,90,0
17021,JAY-Z Reveals Why He and Beyoncé Chose the Names Rumi and Sir for Their Twins,1,1,14,63,15,4.2,22,93,0
17022,Is Lindsay Lohan opening a second club in Greece?,1,1,4,41,9,4.6,9,44,0
17023,"Alex Rodriguez says if you want Jennifer Lopez's love, you have to answer her calls",1,1,4,69,15,4.6,5,26,0
17024,Khloe Kardashian Canceling Promo Appearances Because Of Pregnancy?,1,1,8,59,8,7.4,13,100,0
17025,Brad Pitt Upset Over Angelina Jolie’s Rumored Plans To Adopt? — Would He Adopt Again Too?,1,3,15,74,16,4.6,20,93,0
17026,Ariel Winter ’ s Friends She ’ s About To Elope With Levi Meaden ,1,2,10,51,15,3.4,19,66,0
17027,Jennifer Garner – Gossip Cop,1,0,4,24,5,4.8,16,80,0
17028,Justin Bieber’s tour cancellation: ‘I want to be sustainable’,1,4,3,53,9,5.9,5,33,0
17029,The Biggest Celebrity Feuds of 2017,1,0,4,30,6,5.0,13,66,0
17030,Savannah Chrisley Dumped By NBA Player Boyfriend Luke Kennard,1,0,11,53,9,5.9,20,122,0
17031,Should Angelina Jolie Be Concerned About Bulging Veins In Arms & Legs? — Surgeon Speaks,1,2,13,73,15,4.9,17,86,0
17032,Jennifer Lopez and Alex Rodriguez: Wedding on the Way?!,1,3,6,47,9,5.2,12,66,0
17033,"Karrueche Tran Manager Slams Chris Brown Attorney: Domestic Violence Is Real, Not Self-Promotion",1,2,14,84,13,6.5,16,107,0
17034,Zayn Malik & Gigi Hadid’s Shocking Split: Why There’s A Chance They’ll Reunite ‘Down The Line’,1,7,15,79,16,4.9,18,93,0
17035,Beyoncé Heading To $1 Billion Divorce,1,0,5,32,6,5.3,15,83,0
17036,Robyn Is the Only Wife Standing by Kody Brown Amid 'Sister Wives' Cancellation,1,2,11,66,13,5.1,16,84,0
17037,Ellen DeGeneres Portia de Rossi 10th Anniversary Disaster,1,0,7,50,8,6.2,14,87,0
17038,Richard Gere,1,0,2,11,2,5.5,18,100,0
17039,Sexy Gigi Hadid GIFs,1,0,6,17,4,4.2,35,150,0
17040,"Angelina Jolie Never Considered Reuniting With Brad Pitt, Despite Fake News Story",1,0,12,70,12,5.8,17,100,0
17041,The Spice Girls reportedly set for 2018 reunion and new album,1,0,3,51,11,4.6,5,27,0
17042,Victoria Beckham reportedly furious about David's female friend,1,1,3,56,8,7.0,5,37,0
17043,Animal lover Robert Pattinson reveals how his rescue dog became a pampered pooch overnight,1,0,3,77,14,5.5,3,21,0
17044,Harry Styles' Style Icon? Shania Twain!,1,3,6,34,6,5.7,17,100,0
17045,Nick Viall & Vanessa Grimaldi Split: Why ‘They Never Had A Chance Of Making It Work’,1,4,15,69,16,4.3,21,93,0
17046,"Kendall Jenner angers modelling community, refers to working models as 'those girls'",1,2,2,73,12,6.1,2,16,0
17047,Nicole Kidman and Keith Urban Gush Over Daughters,1,0,7,42,8,5.2,16,87,0
17048,New Pic of Katie Holmes & Jamie Foxx on a Date After Breakup Ignites Criticism,1,1,11,64,15,4.3,17,73,0
17049,Are Brad Pitt and Jennifer Aniston getting back together?,1,1,5,49,9,5.4,10,55,0
17050,"Well, Well, Well, Justin Theroux Is Hanging Out With Aubrey Plaza",1,0,11,55,11,5.0,20,100,0
17051,"Celebrities react to white nationalists rally in Charlottesville, Va.",1,0,3,61,9,6.8,4,33,0
17052,"Angelina Jolie’s ‘Secret Shopping Fix’ Is Not Target, Source Says",1,3,10,56,10,5.6,17,100,0
17053,Caitlyn Jenner is planning a NUDE photo shoot,1,0,6,38,8,4.8,15,75,0
17054,Kim Kardashian Slams 'Liar' Caitlyn Jenner for Comments About Late Father Robert: 'She Is Not a Good Person',1,5,16,91,18,5.1,17,88,0
17055,Are Dakota Johnson and Chris Martin Dating?,1,1,6,37,7,5.3,16,85,0
17056,Demi Lovato’s Sexuality: 5 Fast Facts You Need to Know,1,2,8,45,10,4.5,17,80,0
17057,Fox knew of Bill O'Reilly harassment settlement before renewing contract,1,1,4,63,10,6.3,6,40,0
17058,"Happy birthday, Kathie Lee! See Kris Jenner and Craig Ferguson’s sweet messages",1,2,8,68,12,5.7,11,66,0
17059,Miranda Kerr Goes Kiwi,1,0,4,19,4,4.8,21,100,0
17060,Ellen DeGeneres beams as wife Portia de Rossi shows off her svelte figure in black frock at premiere party,1,0,5,88,19,4.6,5,26,0
17061,Britney Spears and Her BF Do the Craziest Couples Workout You’ve Ever Seen,1,1,12,62,13,4.8,19,92,0
17062,Kanye West Admits He Was 'Hurt' When JAY-Z and Beyonce Missed His and Kim Kardashian's Wedding,1,4,17,79,16,4.9,21,106,0
17063,Inside Ben Affleck and Jennifer Garner's Divorce on the One-Year Anniversary of Their Filing,1,2,11,79,14,5.6,13,78,0
17064,Brad Pitt and uni professor Neri Oxman ‘have been seeing each other for SIX months’ following Angelina Jolie split,1,2,9,96,19,5.1,9,47,0
17065,Is Mariah Carey Forbidding Bryan Tanaka From Seeing Her Without Clothes And Makeup On? [Debunked],1,1,15,83,15,5.5,18,100,0
